별점, 내용, 날짜, 좋아요, 싫어요
8, '생각보다 재미없었습니다ㅜ정말 기대하고 아이랑 같이 갔는데...실망했습니다.', '2021.03.19', 22, 8
2, '아무런 감동도 없고 재미도 없고...', '2021.03.23', 26, 12
6, '잔잔한 감동이 있어요. 한예리의 좋은 연기가 평가받지 못한 것 같아 아쉬워요. 개인적으로 한예리 연기에 최고점을 줍니다.', '2021.03.23', 26, 12
6, '무슨 영화인지 감동도 재미도 ..ㅜㅜ', '2021.03.09', 26, 12
1, '윤여정 연기는 비중이 낮고 약하던데...재미는 그닥...끝이 좀 애매..영화볼때 삼겹살만 생각남...몰입은 그닥', '2021.03.18', 27, 13
10, '별 감동 없이  봤네요윤여정 연기 기대했는데...', '2021.03.03', 30, 16
2, '할말이없음 내용이없기때문에', '2021.03.24', 13, 0
2, '가족의 힘이 이토록 대단한것이었다는걸 느끼게 해주는 영화 였다', '2021.03.22', 13, 0
8, '', '2021.04.23', 14, 1
2, '잠만 잤어요ㅜㅜ내용도어렵고여', '2021.03.28', 14, 1
8, '영화가 끝날 때 씁씁한 기분에 휩싸이는 걸 좋아하는데 미나리가 딱이더라구요', '2021.03.04', 23, 10
2, '엄마랑 같이 26000원 내고봤는데 내용 개거지임 돈아까움', '2021.04.28', 24, 11
1, '우리나라가 이렇게까지 빠른성장을 하는데엔 다 이유가 있다..', '2021.03.03', 26, 13
10, '그냥그냥... 그냥...', '2021.03.03', 38, 25
2, '뭐가 좋은지 알 수 없는 영화', '2021.03.22', 12, 0
2, '극적반전은 없지만 짜임새 있는 스토리와 잔잔한 감동이 있네요 오랜만에 좋은영화 봤네요', '2021.03.21', 12, 0
8, '솔직히 윤여정이 이런 발 연기를 하는데 아카데이 조연상에 언급된다는게 난 정말 이해가 안된다..극중 비중있는 역도 아니고..', '2021.04.25', 14, 2
1, '기대하고 봤는디 정말 뻔한스토리  지겨워서 중간에 나왔습니다ㅠ여주인공도 어거지로 연기하는거 티나고ㅠ어거지로 웃음을 자아내려는게 어색햇고 재미없었어요', '2021.04.30', 15, 3
1, '생각보다는 별로 ㅜㅜ 흠 연기는 좋았어요', '2021.03.22', 15, 3
6, '진짜 뭘얘기하고싶은거며 방구석 평론가들때문에 너무 고평가된 영화', '2021.04.20', 16, 4
7, '연기력? 특출난거 없는 흔한 연기력...감동? 흔한 3류 영화나 드라마에도 나오는 밍밍한 감동포인트...무엇보다도 심각한건 갑작스런 결말...', '2021.03.14', 17, 5
1, '기대를 해서인지 너무 잔잔하기만 하고 끝나는 느낌..', '2021.03.12', 17, 5
4, '아주 큰 감동은 없었음 그냥 뭐지? 했는데 끝난 기분', '2021.03.21', 19, 7
2, '매씬이 아슬아슬. 어색함에 조마조마. 모국어와 자막 히어링과 리딩 사이. 평가도 감동도 이토록 왜곡된다. 소신 별점을 방해하는 수상이력의 압박까지. 내가 본 윤여정의 가장 어색한 연기.', '2021.05.30', 21, 9
10, '미국 이민자들에게 큰 감동을 줄만하지만 그외의 관객에게는 그저 잔잔한 서정적인 영상에 불과할 듯', '2021.03.03', 23, 11
10, '이민자들한테는 공감 많이 되는 내용이라던데... 딱히 공감도 안되고 그냥 저예산 영화 딱 그정도 느낌이었음', '2021.03.04', 25, 13
2, '미국은 애초에 태생적으로 “이민자”의 나라다.. 아메리칸 드림을 이뤄내고자 하는 다양한 인종의 사람들이 저마다의 사연을 가지고 그들의 장점들을 최대한 되살려 직업에 종사했고 결과적으로 세계 최강국의 원동력의 중...', '2021.03.21', 11, 0
1, '아무데서나 잘 자라는 미나리 우리는 그럼에도 구태여 삶의 뿌리를 내리려고 노력한다.', '2021.04.30', 14, 3
2, '기대를 했던 내가 바보인가.. 너무 기대 했었나.. 한국정서론 도무지 이해가 안감.. 결말도 흐지부지 되고이게 왜 해외에서 상을 휩쓸고 다니는지 이해가 솔직히 안감..그냥 연기만 잘할 뿐이지.. 감동 없었네요 전.....', '2021.04.20', 10, 0
2, '머때문에 이영화가 상받았는지 이해가안감!영화사곧 망하겟네.ㅋ', '2021.03.21', 10, 0
2, '내 감상평: 뭐... 뭐지...? 진짜 넘 재미없음... 어쩌라는 건지 내 시간 돌려내 진짜 별로임...', '2021.03.28', 11, 1
1, '너무 재미없음..시간 아까워', '2021.04.30', 12, 2
6, '일요일 휴일에 느즈막히 일어나서 봄. 푹 자고 일어나서 집앞영화관에서 보고왔는데 힘들고 피곤할 이유가 아무것도없는날인데 이영화 보고나서 피곤하고 힘들어요....지침...', '2021.03.06', 13, 3
